00:NOP::1
01:LD:BC,%:3
02:LD:(BC),A:1
03:INC:BC:1
04:INC:B:1
05:DEC:B:1
06:LD:B,!:2
07:RLCA::1
08:EX:AF,AF':1
09:ADD:HL,BC:1
0A:LD:A,(BC):1
0B:DEC:BC:1
0C:INC:C:1
0D:DEC:C:1
0E:LD:C,!:2
0F:RRCA::1
10:DJNZ:@:2
11:LD:DE,%:3
12:LD:(DE),A:1
13:INC:DE:1
14:INC:D:1
15:DEC:D:1
16:LD:D,!:2
17:RLA::1
18:JR:@:2
19:ADD:HL,DE:1
1A:LD:A,(DE):1
1B:DEC:DE:1
1C:INC:E:1
1D:DEC:E:1
1E:LD:E,!:2
1F:RRA::1
20:JR:NZ,@:2
21:LD:HL,%:3
22:LD:(%),HL:3
23:INC:HL:1
24:INC:H:1
25:DEC:H:1
26:LD:H,!:2
27:DAA::1
28:JR:Z,@:2
29:ADD:HL,HL:1
2A:LD:HL,(%):3
2B:DEC:HL:1
2C:INC:L:1
2D:DEC:L:1
2E:LD:L,!:2
2F:CPL::1
30:JR:NC,@:2
31:LD:SP,%:3
32:LD:(%),A:3
33:INC:SP:1
34:INC:(HL):1
35:DEC:(HL):1
36:LD:(HL),!:2
37:SCF::1
38:JR:C,@:2
39:ADD:HL,SP:1
3A:LD:A,(%):3
3B:DEC:SP:1
3C:INC:A:1
3D:DEC:A:1
3E:LD:A,!:2
3F:CCF::1
40:LD:B,B:1
41:LD:B,C:1
42:LD:B,D:1
43:LD:B,E:1
44:LD:B,H:1
45:LD:B,L:1
46:LD:B,(HL):1
47:LD:B,A:1
48:LD:C,B:1
49:LD:C,C:1
4A:LD:C,D:1
4B:LD:C,E:1
4C:LD:C,H:1
4D:LD:C,L:1
4E:LD:C,(HL):1
4F:LD:C,A:1
50:LD:D,B:1
51:LD:D,C:1
52:LD:D,D:1
53:LD:D,E:1
54:LD:D,H:1
55:LD:D,L:1
56:LD:D,(HL):1
57:LD:D,A:1
58:LD:E,B:1
59:LD:E,C:1
5A:LD:E,D:1
5B:LD:E,E:1
5C:LD:E,H:1
5D:LD:E,L:1
5E:LD:E,(HL):1
5F:LD:E,A:1
60:LD:H,B:1
61:LD:H,C:1
62:LD:H,D:1
63:LD:H,E:1
64:LD:H,H:1
65:LD:H,L:1
66:LD:H,(HL):1
67:LD:H,A:1
68:LD:L,B:1
69:LD:L,C:1
6A:LD:L,D:1
6B:LD:L,E:1
6C:LD:L,H:1
6D:LD:L,L:1
6E:LD:L,(HL):1
6F:LD:L,A:1
70:LD:(HL),B:1
71:LD:(HL),C:1
72:LD:(HL),D:1
73:LD:(HL),E:1
74:LD:(HL),H:1
75:LD:(HL),L:1
76:HALT::1
77:LD:(HL),A:1
78:LD:A,B:1
79:LD:A,C:1
7A:LD:A,D:1
7B:LD:A,E:1
7C:LD:A,H:1
7D:LD:A,L:1
7E:LD:A,(HL):1
7F:LD:A,A:1
80:ADD:A,B:1
81:ADD:A,C:1
82:ADD:A,D:1
83:ADD:A,E:1
84:ADD:A,H:1
85:ADD:A,L:1
86:ADD:A,(HL):1
87:ADD:A,A:1
88:ADC:A,B:1
89:ADC:A,C:1
8A:ADC:A,D:1
8B:ADC:A,E:1
8C:ADC:A,H:1
8D:ADC:A,L:1
8E:ADC:A,(HL):1
8F:ADC:A,A:1
90:SUB:B:1
91:SUB:C:1
92:SUB:D:1
93:SUB:E:1
94:SUB:H:1
95:SUB:L:1
96:SUB:(HL):1
97:SUB:A:1
98:SBC:A,B:1
99:SBC:A,C:1
9A:SBC:A,D:1
9B:SBC:A,E:1
9C:SBC:A,H:1
9D:SBC:A,L:1
9E:SBC:A,(HL):1
9F:SBC:A,A:1
A0:AND:B:1
A1:AND:C:1
A2:AND:D:1
A3:AND:E:1
A4:AND:H:1
A5:AND:L:1
A6:AND:(HL):1
A7:AND:A:1
A8:XOR:B:1
A9:XOR:C:1
AA:XOR:D:1
AB:XOR:E:1
AC:XOR:H:1
AD:XOR:L:1
AE:XOR:(HL):1
AF:XOR:A:1
B0:OR:B:1
B1:OR:C:1
B2:OR:D:1
B3:OR:E:1
B4:OR:H:1
B5:OR:L:1
B6:OR:(HL):1
B7:OR:A:1
B8:CP:B:1
B9:CP:C:1
BA:CP:D:1
BB:CP:E:1
BC:CP:H:1
BD:CP:L:1
BE:CP:(HL):1
BF:CP:A:1
C0:RET:NZ:1
C1:POP:BC:1
C2:JP:NZ,%:3
C3:JP:%:3
C4:CALL:NZ,%:3
C5:PUSH:BC:1
C6:ADD:A,!:2
C7:RST:00H:1
